Titel;Seite 
Über meiner Heimat Frühling;324
Und als begann der dritte Krieg;326
Und als wir dann;328
Und am Abend ziehen Gaukler;330
Und wir kauern wieder;332
Ungezählte Male;334
Uns jungen Mannen;336
Unter den Toren;338
Viel Schnee;340
Viva la feria;343
Von der Festung dröhnt;344
Von Sonn' und Kessel;346
Wanderer, lobe den Herren;350
Wanderlied der Prager Studenten;238
Wan si dahs;336
War einst ein Karmeliter;352
Warum bleibt die Trommel;312
Warum zögerst du noch;354
Was bin ich nur so jäh erwacht;356
Was gehen euch meine Lumpen;360
Was helfen mir 1000 Dukaten;362
Was kann ich denn dafür;364
Was ließen jene;366
Weberlied;196
Weile an dieser Quelle;368
Welle wogte;372
Wenn alle Brünnlein fließen;374
Wenn der Abend naht;376
Wenn die Bürger schlafen gehen;378
Wenn ich einmal der Herrgott wär;380
Wenn sie reiten zur Schwemme;382
Wenn wir in der Schenke hängen;384
Wer bekümmert sich drum;386
Wie schön blüht uns der Maien;388
Wilde Gesellen;390
Wildgänse;392
Wir drei, wir gehen jetzt;394
Wir kamen einst von Piemont;398
Wir sind des Geyers;400
Wir sind durch Deutschland;402
Wir sind eine kleine verlorene;404
Wir sind Kameraden;406
Wir traben in die Weite;408
Wir wählten den Sommer;410
Wir wollen zu Land ausfahren;412
Wir zahlten mit Dollars;414
Wir zogen in das Feld;416
Wochenendlied;26
Woher soll das Brot;418
Wohin auch das Auge blicket;420
Wollt ihr hören nun mein Lied;422
Wo seid ihr Nächte am Feuer;424
Wo's nur Felsen gibt;426
Wo soll ich mich hinkehren;428
Wo soll ich mich hinwenden;432
Xekinai;434
Ye Jacobites;436
Zelte sah ich, Pferde, Fahnen;438
Ziehen die Straßen dahin;440
Zigeuner;96
Zigeunerwagen;330
Zogen der Ungarn;442
Zogen einst fünf wilde Schwäne;444
Zogen viele Straßen;446
Zu Straßburg auf der Schanz;448
